Date,New Cases,Total Cases,Daily Dead,Total Dead,Daily Recovered,Total Recovered
14-Mar-20,0,0,0,0,0,0
15-Mar-20,0,0,0,0,0,0
16-Mar-20,0,0,0,0,0,0
17-Mar-20,0,0,0,0,0,0
18-Mar-20,0,0,0,0,0,0
19-Mar-20,0,0,0,0,0,0
20-Mar-20,0,0,0,0,0,0
21-Mar-20,0,0,0,0,0,0
22-Mar-20,1,1,0,0,0,0
23-Mar-20,0,1,0,0,0,0
24-Mar-20,0,1,0,0,0,0
25-Mar-20,0,1,0,0,0,0
26-Mar-20,0,1,0,0,0,0
27-Mar-20,0,1,0,0,0,0
28-Mar-20,0,1,0,0,0,0
29-Mar-20,0,1,0,0,0,0
30-Mar-20,0,1,0,0,0,0
31-Mar-20,0,1,0,0,0,0
01-Apr-20,0,1,0,0,0,0
02-Apr-20,0,1,0,0,0,0
03-Apr-20,0,1,0,0,0,0
04-Apr-20,0,1,0,0,0,0
05-Apr-20,0,1,0,0,0,0
06-Apr-20,0,1,0,0,1,1
07-Apr-20,0,1,0,0,0,1
08-Apr-20,0,1,0,0,0,1
09-Apr-20,1,2,0,0,0,1
10-Apr-20,0,2,0,0,0,1
11-Apr-20,0,2,0,0,0,1
12-Apr-20,0,2,0,0,0,1
13-Apr-20,4,6,0,0,0,1
14-Apr-20,0,6,0,0,0,1
15-Apr-20,0,6,0,0,0,1
16-Apr-20,0,6,0,0,0,1
17-Apr-20,0,6,0,0,0,1
18-Apr-20,1,7,0,0,0,1
19-Apr-20,0,7,0,0,0,1
20-Apr-20,0,7,0,0,0,1
21-Apr-20,0,7,0,0,0,1
22-Apr-20,0,7,0,0,0,1
23-Apr-20,2,9,0,0,0,1
24-Apr-20,0,9,0,0,1,2
25-Apr-20,0,9,0,0,0,2
26-Apr-20,0,9,0,0,0,2
27-Apr-20,0,9,0,0,0,2
28-Apr-20,0,9,0,0,0,2
29-Apr-20,0,9,0,0,0,2
30-Apr-20,0,9,0,0,0,2
01-May-20,1,10,0,0,0,2
02-May-20,0,10,0,0,2,4
03-May-20,0,10,0,0,0,4
04-May-20,0,10,0,0,2,6
05-May-20,1,11,0,0,0,6
06-May-20,0,11,0,0,0,6
07-May-20,1,12,0,0,0,6
08-May-20,0,12,0,0,1,7
09-May-20,0,12,0,0,0,7
10-May-20,0,12,0,0,0,7
11-May-20,0,12,0,0,0,7
12-May-20,9,21,0,0,0,7
13-May-20,0,21,0,0,0,7
14-May-20,0,21,0,0,0,7
15-May-20,0,21,0,0,0,7
